"ID","Latitude","Longitude","Notes","DMS","UTM","MGRS","CRS","CRS Code","Elevation(MSL)","Address","Date Record","GPS Accuracy(m)","Photo1","Photo2","Photo3"
"Main Gate Entrance ","-14.0213667","33.6705317","null","14° 1' 16.92'' S | 33° 40' 13.91'' E","572406.013E 8449807.985N 36L","36LWK 72406 49808","33.6705317 -14.0213667","EPSG:4326","1109.0","null","Record Date: 2026-06-23 15:33:07","2.0999999046325684","null","null","null"
"Library Entrance","-14.0225085","33.6735685","null","14° 1' 21.03'' S | 33° 40' 24.85'' E","572733.59E 8449680.768N 36L","36LWK 72734 49681","33.6735685 -14.0225085","EPSG:4326","1104.7","null","Record Date: 2026-06-23 16:09:19","2.9000000953674316","null","null","null"
"Cafeteria Main Hall","-14.022416666666667","33.67392333333333","null","14° 1' 20.7'' S | 33° 40' 26.12'' E","572771.936E 8449690.816N 36L","36LWK 72772 49691","33.67392333 -14.02241667","EPSG:4326","1070.3","null","Record Date: 2026-06-23 16:26:12","3.200000047683716","null","null","null"
"Main Hall Entrance","-14.022241666666666","33.67377166666667","null","14° 1' 20.07'' S | 33° 40' 25.58'' E","572755.613E 8449710.218N 36L","36LWK 72756 49710","33.67377167 -14.02224167","EPSG:4326","1083.4","null","Record Date: 2026-06-23 16:32:50","3.4000000953674316","null","null","null"
"Classroom 23","-14.022504163067824","33.672227673232555","null","14° 1' 21.01'' S | 33° 40' 20.02'' E","572588.8E 8449681.66N 36L","36LWK 72589 49682","33.67222767 -14.02250416","EPSG:4326","null","null","Record Date: 2026-06-28 16:36:08","null","null","null","null"
"Classroom 22","-14.022504163067824","33.672227673232555","null","14° 1' 21.01'' S | 33° 40' 20.02'' E","572588.8E 8449681.66N 36L","36LWK 72589 49682","33.67222767 -14.02250416","EPSG:4326","null","null","Record Date: 2026-06-28 16:37:12","null","null","null","null"
"Classroom 21","-14.022504163067824","33.672227673232555","null","14° 1' 21.01'' S | 33° 40' 20.02'' E","572588.8E 8449681.66N 36L","36LWK 72589 49682","33.67222767 -14.02250416","EPSG:4326","null","null","Record Date: 2026-06-28 16:38:09","null","null","null","null"
"Classroom 20","-14.022504163067824","33.672227673232555","null","14° 1' 21.01'' S | 33° 40' 20.02'' E","572588.8E 8449681.66N 36L","36LWK 72589 49682","33.67222767 -14.02250416","EPSG:4326","null","null","Record Date: 2026-06-28 16:40:09","null","null","null","null"
"Classroom 19","-14.022504163067824","33.672227673232555","null","14° 1' 21.01'' S | 33° 40' 20.02'' E","572588.8E 8449681.66N 36L","36LWK 72589 49682","33.67222767 -14.02250416","EPSG:4326","null","null","Record Date: 2026-06-28 16:40:49","null","null","null","null"
"Classroom 18","-14.024196940534605","33.67236480116844","null","14° 1' 27.11'' S | 33° 40' 20.51'' E","572603.075E 8449494.393N 36L","36LWK 72603 49494","33.6723648 -14.02419694","EPSG:4326","null","null","Record Date: 2026-06-28 16:41:36","null","null","null","null"
